"학교명","구","동","주소","전화","팩스","홈페이지"
"검단초등학교","중원구","하대원동","경기도 성남시 중원구 원터로 25","031-753-4762","031-753-4765","https://gomdan-e.goesn.kr"
"구미초등학교","분당구","구미동","경기도 성남시 분당구 미금로22번길 25","031-714-2072","031-714-2075","https://kumi-e.goesn.kr"
"금빛초등학교","수정구","신흥동","경기도 성남시 수정구 남문로 112","031-755-0461","031-722-5543","https://geumbit-e.goesn.kr"
"금상초등학교","중원구","금광동","경기도 성남시 중원구 금상로 97","031-733-5025","031-735-9859","https://gumsang-e.goesn.kr"
"낙생초등학교","분당구","판교동","경기도 성남시 분당구 서판교로74번길 11","031-781-5613","031-781-5616","https://naksaeng-e.goesn.kr"
"내정초등학교","분당구","수내동","경기도 성남시 분당구 내정로174번길 19","031-711-1905","031-711-1908","https://naejeong-e.goesn.kr"
"늘푸른초등학교","분당구","금곡동","경기도 성남시 분당구 정자일로 87","031-789-6100","031-711-3313","https://npr-e.goesn.kr"
"단남초등학교","중원구","금광동","경기도 성남시 중원구 광명로300번길 25","031-741-2189","031-745-4774","https://dannam-e.goesn.kr"
"단대초등학교","수정구","단대동","경기도 성남시 수정구 단대로 30","031-741-2018","031-741-2017","https://dandae-e.goesn.kr"
"당촌초등학교","분당구","서현동","경기도 성남시 분당구 분당로 196","031-702-4006","031-702-4009","https://dangchon-e.goesn.kr"
"대원초등학교","중원구","상대원동","경기도 성남시 중원구 희망로343번길 24","031-746-9372","031-746-9373","https://dw-e.goesn.kr"
"대일초등학교","중원구","중앙동","경기도 성남시 중원구 금상로58번길 22","031-749-6777","031-749-0770","https://daeil-e.goesn.kr"
"대하초등학교","중원구","중앙동","경기도 성남시 중원구 시민로 14","031-752-9442","031-753-1795","https://daeha-e.goesn.kr"
"도촌초등학교","중원구","도촌동","경기도 성남시 중원구 도촌남로 99","031-755-0682","031-755-0689","https://sdc-e.goesn.kr"
"돌마초등학교","분당구","이매동","경기도 성남시 분당구 야탑로 96-7","031-704-3608","031-706-2035","https://dolma-e.goesn.kr"
"백현초등학교","분당구","수내동","경기도 성남시 분당구 백현로144번길 26","031-713-1272","031-713-1275","https://baekhyeon-e.goesn.kr"
"보평초등학교","분당구","백현동","경기도 성남시 분당구 동판교로 154","031-697-2106","031-8017-3104","https://bp-e.goesn.kr"
"복정초등학교","수정구","복정동","경기도 성남시 수정구 성남대로1480번길 25","031-759-5623","031-759-5120","https://bokjeong-e.goesn.kr"
"분당초등학교","분당구","서현동","경기도 성남시 분당구 중앙공원로32번길 20","031-701-2398","031-701-2397","https://bundang-e.goesn.kr"
"불곡초등학교","분당구","정자동","경기도 성남시 분당구 무지개로 129","031-716-0143","031-716-0145","https://bulgok-e.goesn.kr"
